Date;Bitfinex;Cex.io;Poloniex
11/4/2017 10:22:36 PM;0.039938;0.04011496;0.039901
11/4/2017 10:22:46 PM;0.039958;0.04011496;0.039948
11/4/2017 10:22:56 PM;0.039954;0.04011496;0.039948
11/4/2017 10:23:06 PM;0.039948;0.04011496;0.039948
11/4/2017 10:23:16 PM;0.039954;0.040115;0.039948
11/4/2017 10:23:26 PM;0.039954;0.040115;0.039948
11/4/2017 10:23:36 PM;0.039954;0.040115;0.039948
11/4/2017 10:23:46 PM;0.039954;0.040115;0.039948
11/4/2017 10:23:56 PM;0.039954;0.040115;0.039948
11/4/2017 10:24:07 PM;0.039959;0.040115;0.03992
11/4/2017 10:24:16 PM;0.039959;0.040115;0.039901
11/4/2017 10:24:26 PM;0.039959;0.040115;0.03991101
11/4/2017 10:24:37 PM;0.039957;0.040115;0.03992603
11/4/2017 10:24:47 PM;0.039961;0.040115;0.03992603
11/4/2017 10:24:56 PM;0.039961;0.040115;0.0399692
11/4/2017 10:25:06 PM;0.039926;0.040115;0.03999
11/4/2017 10:25:16 PM;0.039926;0.040115;0.03999636
11/4/2017 10:25:26 PM;0.039943;0.040115;0.03999
11/4/2017 10:25:36 PM;0.039963;0.040115;0.03999001
11/4/2017 10:25:46 PM;0.039963;0.040115;0.03999
11/4/2017 10:25:56 PM;0.039964;0.040115;0.03999001
11/4/2017 10:26:06 PM;0.039964;0.040115;0.03999499
11/4/2017 10:26:16 PM;0.039916;0.040115;0.03999503
11/4/2017 10:26:26 PM;0.039916;0.040115;0.03999506
11/4/2017 10:26:36 PM;0.039916;0.040115;0.03999506
11/4/2017 10:26:47 PM;0.039955;0.040115;0.03991103
11/4/2017 10:26:56 PM;0.039955;0.04000629;0.03991103
11/4/2017 10:27:07 PM;0.039914;0.04000629;0.039901
11/4/2017 10:27:16 PM;0.039898;0.04000629;0.03990103
11/4/2017 10:27:26 PM;0.039864;0.04000629;0.04
11/4/2017 10:27:36 PM;0.039859;0.04000629;0.04
11/4/2017 10:27:46 PM;0.03985;0.04000629;0.04
11/4/2017 10:27:56 PM;0.039849;0.04000664;0.03990612
11/4/2017 10:28:06 PM;0.03985;0.04000664;0.03991109
11/4/2017 10:28:16 PM;0.03985;0.04000664;0.03991121
11/4/2017 10:28:27 PM;0.039849;0.04000664;0.03990103
11/4/2017 10:28:36 PM;0.03985;0.04000664;0.03990106
11/4/2017 10:28:46 PM;0.039849;0.04000664;0.03990106
11/4/2017 10:28:56 PM;0.03985;0.04000664;0.03990106
11/4/2017 10:29:07 PM;0.03985;0.04000664;0.03990106
11/4/2017 10:29:16 PM;0.039849;0.04000664;0.03990106
11/4/2017 10:29:26 PM;0.03985;0.04000664;0.03990106
11/4/2017 10:29:36 PM;0.03986;0.04000664;0.0399025
11/4/2017 10:29:46 PM;0.03986;0.04000664;0.03994899
11/4/2017 10:29:56 PM;0.03986;0.04000664;0.03994892
11/4/2017 10:30:06 PM;0.03986;0.04000664;0.03983704
11/4/2017 10:30:16 PM;0.039856;0.04000664;0.03980652
11/4/2017 10:30:26 PM;0.039855;0.04000664;0.03991897
11/4/2017 10:30:36 PM;0.039855;0.04000664;0.03991897
11/4/2017 10:30:46 PM;0.03986;0.04000664;0.03985098
11/4/2017 10:30:56 PM;0.03986;0.04000664;0.03985101
11/4/2017 10:31:06 PM;0.03986;0.04000664;0.03985101
11/4/2017 10:31:16 PM;0.03986;0.04000664;0.039805
11/4/2017 10:31:26 PM;0.03986;0.04000664;0.03980102
